,run,trial,startID,goalID,cue,CWhead,CCWhead,feedbackType,goalError,pathDistance,shPathError,startNavTime,endNavTime,navTime,arrowsDispTime,selectTime,selectChoice,selectHead,RT,subID,trialTypeContext,trialTypeNumCon,trialTypeEdgeLen,maze,mazeOrder,landmarkID,goalLM
0,1,1,3,7,cue11,-38.0101345438,141.989865456,tooLong,2.083341758,96.0,48.06638196,73.125,132.585,59.46,48.58500004,73.125,UP_SELECTION,-38.01013454,24.53999996,HSR02,across,2.0,3.0,2.0,2,6,landmark12B
1,1,2,7,15,cue20,35.153463033,215.15346303299998,tooLong,1.411985751,151.1,99.42563598,162.165,252.66400000000002,90.499,139.5350001,162.165,DOWN_SELECTION,35.15346303,22.629999899999998,HSR02,across,2.0,2.0,3.0,3,12,landmark8B
2,1,3,15,4,cue8,-43.641695038,136.358304962,incorrect,26.56935422,212.0,140.12142930000002,268.105,421.3760002,153.27100019999997,259.6400001,268.105,UP_SELECTION,-43.64169504,8.4649999,HSR02,across,2.0,3.0,1.0,1,4,landmark2B
3,1,4,4,2,cue13,265.99410223900003,85.99410223870001,tooLong,1.277864195,63.7,11.52161099,439.51,509.096,69.586,434.846,439.51,DOWN_SELECTION,85.99410224,4.664,HSR02,within,1.0,2.0,1.0,1,2,landmark6B
4,1,5,2,9,cue6,80.0089957311,260.00899573099997,incorrect,34.10324606,53.7,-38.26686603,518.6059999,556.7460001000001,38.1400002,516.085,518.6059999,DOWN_SELECTION,260.0089957,2.5209999,HSR02,across,2.0,4.0,2.0,2,8,landmark14B
5,1,6,9,13,cue22,230.72509544599998,50.7250954461,correct,0.9393491820000001,65.0,-0.9400470040000001,582.2160001,609.9360001,27.72,570.1660001,582.2160001,UP_SELECTION,230.7250954,12.05,HSR02,across,2.0,3.0,3.0,3,3,landmark4B
6,1,7,13,10,cue14,102.78110517799999,-77.2188948219,tooLong,1.3397528459999999,171.2,103.3041928,622.036,797.9460001,175.9100001,616.9090002,622.036,DOWN_SELECTION,102.7811052,5.1269998,HSR02,across,3.0,3.0,2.0,2,9,landmark5B
7,1,8,10,8,cue4,192.38214593700002,12.3821459369,correct,1.6341820390000001,45.1,-1.635568612,808.326,825.4660001,17.1400001,804.8770001,808.326,DOWN_SELECTION,192.3821459,3.4489998999999996,HSR02,within,1.0,2.0,2.0,2,7,landmark7B
8,1,9,8,6,cue17,-23.860641462199997,156.13935853799998,correct,1.1510700870000001,41.2,-1.151871195,835.0060000000001,849.556,14.55,832.4560001,835.0060000000001,UP_SELECTION,-23.86064146,2.5499999,HSR02,within,1.0,2.0,2.0,2,5,landmark13B
9,1,10,6,14,cue16,72.3727287096,252.37272871,incorrect,20.35194607,53.1,-13.12057606,872.1960001,920.2810001,48.085,856.5060000000001,872.1960001,DOWN_SELECTION,252.3727287,15.690000099999999,HSR02,across,3.0,3.0,3.0,3,11,landmark1B
10,2,1,14,12,cue21,-12.3971927173,167.602807283,correct,1.546915679,38.8,-1.518031603,948.0870001000001,962.437,14.3499999,943.2,948.0870001000001,UP_SELECTION,-12.39719272,4.8870001,HSR02,within,1.0,2.0,3.0,3,10,landmark11B
11,2,2,12,5,cue18,145.579686976,-34.420313024,correct,1.411193243,56.5,6.405924737,975.0870001000001,1012.3,37.2129999,969.4090002,975.0870001000001,DOWN_SELECTION,-34.42031302,5.6779999000000005,HSR02,across,3.0,3.0,1.0,1,5,landmark13B
12,2,3,5,11,cue2,217.757113597,37.7571135965,tooLong,1.8141810440000001,232.1,186.4611115,1024.027,1171.296,147.269,1019.2660000000001,1024.027,DOWN_SELECTION,217.7571136,4.761,HSR02,across,3.0,2.0,3.0,3,7,landmark7B
13,2,4,11,1,cue3,207.840947976,27.8409479757,incorrect,20.90046516,108.7,39.5264844,1185.461,1241.037,55.576,1178.287,1185.461,DOWN_SELECTION,207.840948,7.1739999999999995,HSR02,across,3.0,3.0,1.0,1,1,landmark18B
14,2,5,1,3,cue9,107.54615843799999,-72.4538415622,correct,1.0293827290000002,51.2,5.429702451,1258.027,1306.397,48.37,1254.527,1258.027,DOWN_SELECTION,-72.45384156,3.5,HSR02,within,1.0,2.0,1.0,1,3,landmark4B
15,2,6,3,15,cue20,-38.0101345438,141.989865456,tooLong,1.06862629,59.8,9.915503735,1317.997,1352.1970000000001,34.2,1313.3670000000002,1317.997,DOWN_SELECTION,141.9898655,4.63,HSR02,across,2.0,2.0,3.0,3,12,landmark8B
16,2,7,15,6,cue17,-43.641695038,136.358304962,correct,1.336387237,67.2,-1.3374097120000001,1360.287,1432.1070000000002,71.82,1359.1570000000002,1360.287,UP_SELECTION,136.358305,1.13,HSR02,across,2.0,3.0,2.0,2,5,landmark13B
17,2,8,6,9,cue6,72.3727287096,252.37272871,correct,1.039407661,47.1,-1.039635592,1444.017,1460.567,16.55,1439.111,1444.017,UP_SELECTION,72.37272871,4.906000000000001,HSR02,within,1.0,2.0,2.0,2,8,landmark14B
18,2,9,9,3,cue9,230.72509544599998,50.7250954461,incorrect,43.04924321,20.9,-45.21551297,1473.388,1481.7579999999998,8.37,1467.558,1473.388,UP_SELECTION,230.7250954,5.83,HSR02,across,3.0,3.0,1.0,1,3,landmark4B
19,2,10,3,10,cue14,-38.0101345438,141.989865456,incorrect,37.40955452,93.0,27.03152688,1497.1970000000001,1557.3210000000001,60.123999999999995,1495.217,1497.1970000000001,DOWN_SELECTION,141.9898655,1.98,HSR02,across,2.0,3.0,2.0,2,9,landmark5B
20,3,1,10,13,cue22,192.38214593700002,12.3821459369,incorrect,36.47736029,110.2,43.27849285,1589.1879999999999,1661.547,72.359,1580.9279999999999,1587.221,DOWN_SELECTION,12.38214594,6.292999999999999,HSR02,across,3.0,3.0,3.0,3,3,landmark4B
21,3,2,13,7,cue11,102.78110517799999,-77.2188948219,tooLong,2.073324624,99.9,50.03904792,1680.338,1853.5379999999998,173.2,1674.9979999999998,1680.338,UP_SELECTION,102.7811052,5.34,HSR02,across,3.0,3.0,2.0,2,6,landmark12B
22,3,3,7,12,cue21,35.153463033,215.15346303299998,incorrect,14.88021729,79.9,43.08246989,1863.7879999999998,1933.7679999999998,69.98,1860.558,1863.7879999999998,UP_SELECTION,215.153463,3.23,HSR02,across,2.0,2.0,3.0,3,10,landmark11B
23,3,4,12,14,cue16,145.579686976,-34.420313024,incorrect,39.13650895,24.7,-15.618031599999998,1953.557,1979.108,25.551,1947.23,1950.719,DOWN_SELECTION,-34.42031302,3.489,HSR02,within,1.0,2.0,3.0,3,11,landmark1B
24,3,5,14,11,cue2,-12.3971927173,167.602807283,tooLong,1.095773394,101.3,55.1349194,1994.2379999999998,2040.7620000000002,46.523999999999994,1992.589,1994.2379999999998,UP_SELECTION,-12.39719272,1.649,HSR02,within,1.0,2.0,3.0,3,7,landmark7B
25,3,6,11,5,cue18,207.840947976,27.8409479757,incorrect,20.13261007,94.1,47.54021148,2050.449,2102.472,52.023,2047.741,2050.449,DOWN_SELECTION,27.84094798,2.708,HSR02,across,3.0,2.0,1.0,1,5,landmark13B
26,3,7,5,2,cue13,217.757113597,37.7571135965,correct,0.83276032,49.3,6.767176748,2117.548,2152.92,35.372,2115.949,2117.548,UP_SELECTION,217.7571136,1.599,HSR02,within,1.0,2.0,1.0,1,2,landmark6B
27,3,8,2,8,cue4,80.0089957311,260.00899573099997,tooLong,1.738473745,122.8,52.42053227,2162.709,2235.388,72.679,2159.929,2162.709,DOWN_SELECTION,80.00899573,2.78,HSR02,across,3.0,3.0,2.0,2,7,landmark7B
28,3,9,8,4,cue8,-23.860641462199997,156.13935853799998,incorrect,25.00549072,54.1,7.0047400479999995,2244.259,2273.969,29.71,2242.379,2244.259,UP_SELECTION,-23.86064146,1.88,HSR02,across,3.0,3.0,1.0,1,4,landmark2B
29,3,10,4,1,cue3,265.99410223900003,85.99410223870001,incorrect,34.91079229,53.5,13.51846443,2290.399,2332.509,42.11,2287.413,2290.399,UP_SELECTION,265.9941022,2.986,HSR02,within,1.0,2.0,1.0,1,1,landmark18B
30,4,1,1,15,cue20,107.54615843799999,-72.4538415622,incorrect,19.83370988,92.5,-0.584181986,2360.572,2423.328,62.756,2358.222,2360.572,UP_SELECTION,107.54615840000001,2.35,HSR02,across,2.0,4.0,3.0,3,12,landmark8B
31,4,2,15,10,cue14,-43.641695038,136.358304962,tooLong,0.971160458,111.7,30.85753529,2438.639,2498.149,59.51,2436.7889999999998,2438.639,DOWN_SELECTION,136.358305,1.85,HSR02,across,2.0,3.0,2.0,2,9,landmark5B
32,4,3,10,7,cue11,192.38214593700002,12.3821459369,incorrect,4.435210898999999,241.2,201.34547030000002,2508.999,2616.529,107.53,2505.129,2508.999,UP_SELECTION,192.3821459,3.87,HSR02,within,1.0,2.0,2.0,2,6,landmark12B
33,4,4,7,4,cue8,35.153463033,215.15346303299998,incorrect,38.94389104,97.7,76.09353668,2635.719,2683.159,47.44,2630.009,2635.719,UP_SELECTION,35.15346303,5.71,HSR02,across,2.0,2.0,1.0,1,4,landmark2B
34,4,5,4,1,cue3,265.99410223900003,85.99410223870001,correct,2.9167628210000003,42.9,2.9184644289999997,2698.78,2724.453,25.673000000000002,2696.64,2698.78,DOWN_SELECTION,85.99410224,2.14,HSR02,within,1.0,2.0,1.0,1,1,landmark18B
35,4,6,1,11,cue2,107.54615843799999,-72.4538415622,tooLong,1.1657519809999999,102.0,33.7472844,2735.24,2782.24,47.0,2731.46,2735.24,UP_SELECTION,-72.45384156,3.78,HSR02,across,3.0,3.0,3.0,3,7,landmark7B
36,4,7,11,3,cue9,207.840947976,27.8409479757,correct,0.578324483,43.4,-0.39878681,2791.72,2819.59,27.87,2789.22,2791.72,DOWN_SELECTION,27.84094798,2.5,HSR02,across,2.0,2.0,1.0,1,3,landmark4B
37,4,8,3,8,cue4,-38.0101345438,141.989865456,correct,0.891868462,45.6,1.0718853259999999,2827.8390000000004,2848.24,20.401,2826.573,2827.8390000000004,DOWN_SELECTION,141.9898655,1.266,HSR02,across,3.0,2.0,2.0,2,7,landmark7B
38,4,9,8,3,cue9,-23.860641462199997,156.13935853799998,correct,0.00795357,48.1,3.5718853260000003,2856.44,2877.548,21.108,2855.24,2856.44,DOWN_SELECTION,-23.86064146,1.2,HSR02,across,3.0,2.0,1.0,1,3,landmark4B
39,4,10,3,10,cue14,-38.0101345438,141.989865456,tooLong,0.697377427,163.5,97.53152688,2886.071,2957.19,71.119,2884.55,2886.071,DOWN_SELECTION,141.9898655,1.521,HSR02,across,2.0,3.0,2.0,2,9,landmark5B
40,5,1,10,13,cue22,192.38214593700002,12.3821459369,tooLong,0.844090343,75.7,8.778492845,3002.202,3042.3059999999996,40.104,3000.322,3002.202,DOWN_SELECTION,12.38214594,1.88,HSR02,across,3.0,3.0,3.0,3,3,landmark4B
41,5,2,13,11,cue2,102.78110517799999,-77.2188948219,tooLong,1.720927754,67.5,23.87667916,3055.3520000000003,3093.302,37.95,3049.285,3055.3520000000003,UP_SELECTION,-77.21889482,6.067,HSR02,within,1.0,2.0,3.0,3,7,landmark7B
42,5,3,11,6,cue17,207.840947976,27.8409479757,incorrect,6.536237308,163.4,119.6940567,3104.9320000000002,3182.482,77.55,3100.2659999999996,3104.9320000000002,DOWN_SELECTION,27.84094798,4.666,HSR02,across,2.0,2.0,2.0,2,5,landmark13B
43,5,4,6,12,cue21,72.3727287096,252.37272871,incorrect,33.23551337,17.2,-33.63153008,3202.772,3347.292,144.52,3195.942,3202.772,DOWN_SELECTION,252.3727287,6.83,HSR02,across,3.0,3.0,3.0,3,10,landmark11B
44,5,5,12,14,cue16,145.579686976,-34.420313024,incorrect,45.48344945,31.7,-8.618031603,3365.002,3415.385,50.383,3360.776,3365.002,UP_SELECTION,145.579687,4.226,HSR02,within,1.0,2.0,3.0,3,11,landmark1B
45,5,6,14,7,cue11,-12.3971927173,167.602807283,incorrect,8.063516793,107.5,35.34862391,3433.676,3479.885,46.208999999999996,3428.813,3433.676,DOWN_SELECTION,167.6028073,4.863,HSR02,across,2.0,3.0,2.0,2,6,landmark12B
46,5,7,7,9,cue6,35.153463033,215.15346303299998,incorrect,34.69143765,104.5,57.4238762,3495.303,3546.363,51.06,3493.323,3495.303,UP_SELECTION,35.15346303,1.98,HSR02,within,1.0,2.0,2.0,2,8,landmark14B
47,5,8,9,4,cue8,230.72509544599998,50.7250954461,incorrect,24.84970958,80.0,15.21044073,3564.603,3599.013,34.41,3559.816,3564.603,DOWN_SELECTION,50.72509545,4.787,HSR02,across,2.0,3.0,1.0,1,4,landmark2B
48,5,9,4,1,cue3,265.99410223900003,85.99410223870001,tooLong,3.2164580369999998,57.6,17.61846443,3615.673,3643.243,27.57,3612.4429999999998,3615.673,UP_SELECTION,265.9941022,3.23,HSR02,within,1.0,2.0,1.0,1,1,landmark18B
49,5,10,1,15,cue20,107.54615843799999,-72.4538415622,incorrect,53.96530227,89.2,-3.884181986,3653.393,3696.953,43.56,3650.223,3653.393,UP_SELECTION,-72.45384156,3.17,HSR02,across,2.0,4.0,3.0,3,12,landmark8B
50,6,1,15,5,cue18,-43.641695038,136.358304962,incorrect,38.72530003,75.6,4.208745103,3721.683,3763.803,42.12,3720.333,3721.683,DOWN_SELECTION,136.358305,1.35,HSR02,across,3.0,3.0,1.0,1,5,landmark13B
51,6,2,5,2,cue13,217.757113597,37.7571135965,tooLong,1.045727149,77.3,34.76717675,3779.683,3822.467,42.784,3777.292,3779.683,UP_SELECTION,217.7571136,2.391,HSR02,within,1.0,2.0,1.0,1,2,landmark6B
52,6,3,2,8,cue4,80.0089957311,260.00899573099997,tooLong,1.5132355080000002,137.6,67.22053227,3831.953,3890.813,58.86,3829.413,3831.953,DOWN_SELECTION,260.0089957,2.54,HSR02,across,3.0,3.0,2.0,2,7,landmark7B
53,6,4,8,6,cue17,-23.860641462199997,156.13935853799998,incorrect,8.157419534,163.5,121.1481288,3900.414,3985.763,85.34899999999999,3897.7929999999997,3900.414,DOWN_SELECTION,-23.86064146,2.6210000000000004,HSR02,within,1.0,2.0,2.0,2,5,landmark13B
54,6,5,6,14,cue16,72.3727287096,252.37272871,correct,1.2021652109999998,68.5,2.279423935,4006.7140000000004,4041.2140000000004,34.5,3999.2329999999997,4006.7140000000004,DOWN_SELECTION,252.3727287,7.481,HSR02,across,3.0,3.0,3.0,3,11,landmark1B
55,6,6,14,12,cue21,-12.3971927173,167.602807283,correct,1.2820034359999999,41.6,1.281968397,4057.554,4072.238,14.684000000000001,4048.1940000000004,4057.554,DOWN_SELECTION,-12.39719272,9.36,HSR02,within,1.0,2.0,3.0,3,10,landmark11B
56,6,7,12,5,cue18,145.579686976,-34.420313024,tooLong,0.33743785600000004,110.1,60.00592474,4081.3340000000003,4129.003,47.669,4079.197,4081.3340000000003,UP_SELECTION,145.579687,2.137,HSR02,across,3.0,3.0,1.0,1,5,landmark13B
57,6,8,5,15,cue20,217.757113597,37.7571135965,incorrect,53.02545206,128.0,57.5296451,4140.004,4214.354,74.35,4135.974,4140.004,DOWN_SELECTION,217.7571136,4.03,HSR02,across,3.0,3.0,3.0,3,12,landmark8B
58,6,9,15,13,cue22,-43.641695038,136.358304962,correct,0.224211418,43.4,-0.224117237,4229.434,4247.464,18.03,4227.794,4229.434,UP_SELECTION,-43.64169504,1.64,HSR02,within,1.0,2.0,3.0,3,3,landmark4B
59,6,10,13,9,cue6,102.78110517799999,-77.2188948219,incorrect,28.38576014,96.8,30.859953000000004,4258.264,4311.164000000001,52.9,4254.414000000001,4258.264,UP_SELECTION,102.7811052,3.85,HSR02,across,2.0,3.0,2.0,2,8,landmark14B
60,7,1,9,2,cue13,230.72509544599998,50.7250954461,incorrect,14.51735958,177.3,85.33323397,4364.139,4443.4529999999995,79.314,4361.559,4364.139,DOWN_SELECTION,50.72509545,2.58,HSR02,across,3.0,4.0,1.0,1,2,landmark6B
61,7,2,2,10,cue14,80.0089957311,260.00899573099997,tooLong,1.750373256,182.6,108.85838419999999,4457.829000000001,4538.583,80.75399999999999,4456.939,4457.829000000001,DOWN_SELECTION,260.0089957,0.89,HSR02,across,2.0,3.0,2.0,2,9,landmark5B
62,7,3,10,7,cue11,192.38214593700002,12.3821459369,tooLong,3.6251095789999996,183.8,143.9454703,4547.759,4630.629,82.87,4545.539000000001,4547.759,DOWN_SELECTION,12.38214594,2.22,HSR02,within,1.0,2.0,2.0,2,6,landmark12B
63,7,4,7,4,cue8,35.153463033,215.15346303299998,correct,0.649143583,26.1,4.493536677,4641.539000000001,4652.339,10.8,4637.629,4641.539000000001,DOWN_SELECTION,35.15346303,3.91,HSR02,across,2.0,2.0,1.0,1,4,landmark2B
64,7,5,4,1,cue3,265.99410223900003,85.99410223870001,tooLong,2.417440607,77.4,37.41846443,4661.289000000001,4695.619000000001,34.33,4659.3,4661.289000000001,UP_SELECTION,265.9941022,1.989,HSR02,within,1.0,2.0,1.0,1,1,landmark18B
65,7,6,1,11,cue2,107.54615843799999,-72.4538415622,incorrect,4.468867979,76.4,8.147284396,4704.549,4749.063,44.513999999999996,4702.589,4704.549,DOWN_SELECTION,107.54615840000001,1.96,HSR02,across,3.0,3.0,3.0,3,7,landmark7B
66,7,7,11,3,cue9,207.840947976,27.8409479757,tooLong,0.8527631920000001,162.7,118.9012132,4764.929,4836.7390000000005,71.81,4762.54,4764.929,DOWN_SELECTION,27.84094798,2.3890000000000002,HSR02,across,2.0,2.0,1.0,1,3,landmark4B
67,7,8,3,8,cue4,-38.0101345438,141.989865456,tooLong,0.270874448,99.9,55.37188533,4845.71,4897.454000000001,51.744,4843.71,4845.71,DOWN_SELECTION,141.9898655,2.0,HSR02,across,3.0,2.0,2.0,2,7,landmark7B
68,7,9,8,6,cue17,-23.860641462199997,156.13935853799998,tooLong,3.727645252,84.7,42.34812881,4909.31,4952.39,43.08,4904.46,4909.31,UP_SELECTION,156.1393585,4.85,HSR02,within,1.0,2.0,2.0,2,5,landmark13B
69,7,10,6,14,cue16,72.3727287096,252.37272871,incorrect,22.27967367,76.7,10.47942394,4967.26,5002.644,35.384,4959.38,4967.26,DOWN_SELECTION,252.3727287,7.88,HSR02,across,3.0,3.0,3.0,3,11,landmark1B
70,8,1,14,12,cue21,-12.3971927173,167.602807283,correct,0.350901084,40.5,0.181968397,5305.465,5319.6669999999995,14.202,5301.049,5305.465,UP_SELECTION,-12.39719272,4.416,HSR02,within,1.0,2.0,3.0,3,10,landmark11B
71,8,2,12,5,cue18,145.579686976,-34.420313024,correct,0.187788714,55.9,5.805924737000001,5327.967,5353.035,25.068,5326.625,5327.967,DOWN_SELECTION,-34.42031302,1.3419999999999999,HSR02,across,3.0,3.0,1.0,1,5,landmark13B
72,8,3,5,15,cue20,217.757113597,37.7571135965,incorrect,55.25890918,13.8,-56.6703549,5363.359,5405.599,42.24,5360.025,5363.359,DOWN_SELECTION,217.7571136,3.3339999999999996,HSR02,across,3.0,3.0,3.0,3,12,landmark8B
73,8,4,15,13,cue22,-43.641695038,136.358304962,correct,1.023488202,42.6,-1.024117237,5420.205,5448.559,28.354,5419.075,5420.205,DOWN_SELECTION,136.358305,1.13,HSR02,within,1.0,2.0,3.0,3,3,landmark4B
74,8,5,13,9,cue6,102.78110517799999,-77.2188948219,incorrect,35.38532615,90.6,24.659953,5456.854,5526.569,69.715,5455.535,5456.854,UP_SELECTION,102.7811052,1.319,HSR02,across,2.0,3.0,2.0,2,8,landmark14B
75,8,6,9,2,cue13,230.72509544599998,50.7250954461,incorrect,42.21409231,199.2,107.23323400000001,5542.485,5645.869000000001,103.384,5539.995,5542.485,DOWN_SELECTION,50.72509545,2.49,HSR02,across,3.0,4.0,1.0,1,2,landmark6B
76,8,7,2,10,cue14,80.0089957311,260.00899573099997,incorrect,4.071892931,135.5,61.75838418,5661.315,5741.125,79.81,5659.375,5661.315,DOWN_SELECTION,260.0089957,1.94,HSR02,across,2.0,3.0,2.0,2,9,landmark5B
77,8,8,10,15,cue20,192.38214593700002,12.3821459369,incorrect,56.61041413,19.7,-61.14246471,5757.944,5770.315,12.370999999999999,5754.599,5757.944,DOWN_SELECTION,12.38214594,3.345,HSR02,across,2.0,3.0,3.0,3,12,landmark8B
78,8,9,15,1,cue3,-43.641695038,136.358304962,tooLong,2.711490908,151.8,57.79501801,5785.925,5848.1359999999995,62.211000000000006,5783.795999999999,5785.925,DOWN_SELECTION,136.358305,2.129,HSR02,across,3.0,4.0,1.0,1,1,landmark18B
79,8,10,1,9,cue6,107.54615843799999,-72.4538415622,incorrect,32.12708578,81.5,2.52915721,5858.356,5897.816,39.46,5855.106,5858.356,DOWN_SELECTION,107.54615840000001,3.25,HSR02,across,2.0,3.0,2.0,2,8,landmark14B
80,9,1,9,3,cue9,230.72509544599998,50.7250954461,incorrect,41.09137368,51.6,-14.51551297,5925.536,5948.397,22.861,5920.606,5925.536,DOWN_SELECTION,50.72509545,4.93,HSR02,across,3.0,3.0,1.0,1,3,landmark4B
81,9,2,3,5,cue18,-38.0101345438,141.989865456,incorrect,34.6583489,87.8,44.1051368,5967.1759999999995,6008.536,41.36,5961.856,5967.1759999999995,DOWN_SELECTION,141.9898655,5.32,HSR02,within,1.0,2.0,1.0,1,5,landmark13B
82,9,3,5,8,cue4,217.757113597,37.7571135965,tooLong,3.246412275,96.9,52.61518362,6026.8859999999995,6065.996,39.11,6022.036,6026.8859999999995,UP_SELECTION,217.7571136,4.85,HSR02,across,2.0,2.0,2.0,2,7,landmark7B
