,maze,run,trial,start_loc,goal_loc,cue,CWhead,CCWhead,feedbackType,goalError,pathDistance,shPathError,startNavTime,endNavTime,navTime,arrowsDispTime,selectTime,selectChoice,selectHead,RT,subID,mazeOrder,landmarkID,goalLM
22,1.0,3,3,5,4,cue8,217.757113597,37.7571135965,correct,0.467609218,16.9,-0.46770848299999995,910.1200001,919.5009999,9.380999800000001,908.0009999,910.1200001,DOWN_SELECTION,217.7571136,2.1190002,HSR02,1,4,landmark4B
23,1.0,3,4,4,3,cue9,265.99410223900003,85.99410223870001,correct,1.625527215,24.7,-1.627135956,932.6590002,941.8310001,9.171999900000001,926.4809999,932.6590002,UP_SELECTION,265.9941022,6.1780003,HSR02,1,3,landmark7B
24,1.0,3,5,3,1,cue3,-38.0101345438,141.989865456,correct,3.767871864,42.0,-3.770297549,952.1110001000001,969.5910001,17.48,948.8210001,952.1110001000001,UP_SELECTION,-38.01013454,3.29,HSR02,1,1,landmark11B
25,1.0,3,6,1,5,cue18,107.54615843799999,-72.4538415622,correct,1.412258084,21.2,-1.413809347,978.3310001,986.3510001,8.02,976.5510001,978.3310001,UP_SELECTION,107.54615840000001,1.78,HSR02,1,5,landmark1B
26,1.0,3,7,5,3,cue9,217.757113597,37.7571135965,incorrect,18.94993909,24.2,-19.494863199999998,1017.831,1027.854,10.023,993.3210001,1017.831,UP_SELECTION,217.7571136,24.509999899999997,HSR02,1,3,landmark7B
27,1.0,3,8,3,4,cue8,-38.0101345438,141.989865456,correct,3.8260572639999997,22.5,-3.8271359560000002,1055.5610000000001,1070.621,15.06,1041.3410000000001,1055.5610000000001,DOWN_SELECTION,141.9898655,14.22,HSR02,1,4,landmark8B
28,1.0,3,9,4,5,cue18,265.99410223900003,85.99410223870001,correct,1.566492403,15.8,-1.567708483,1082.701,1111.305,28.604,1077.5910000000001,1082.701,UP_SELECTION,85.99410224,5.11,HSR02,1,5,landmark4B
29,1.0,3,10,5,2,cue13,217.757113597,37.7571135965,correct,1.232758608,41.3,-1.232823252,1120.844,1135.901,15.057,1118.285,1120.844,UP_SELECTION,37.7571136,2.559,HSR02,1,2,landmark11B
30,1.0,4,1,2,4,cue8,80.0089957311,260.00899573099997,incorrect,7.080031614,45.1,-7.078389014,1174.951,1191.795,16.844,1171.0710000000001,1174.951,DOWN_SELECTION,260.0089957,3.88,HSR02,1,4,landmark8B
31,1.0,4,2,4,1,cue3,265.99410223900003,85.99410223870001,correct,1.3814823930000002,38.6,-1.381535571,1220.611,1235.085,14.474,1205.2910000000002,1220.611,DOWN_SELECTION,85.99410224,15.32,HSR02,1,1,landmark7B
