subID,run,trial,startID,goalID,cue,feedbackType,goalError,pathDistance,shPathError,RT,trialTypeContext,trialTypeNumCon,trialTypeEdgeLen,switchCorrect,trackDirCorrect,locCorrect
HSR31,5,6,7,14,cue21,incorrect,19.91069906,49.5,-20.06747731,4.638000011,across,2,3,1,1,0
HSR31,5,7,14,6,cue8,incorrect,37.70725483,67.9,-5.566227603,2.588000059,across,3,3,0,0,0
HSR31,5,8,6,8,cue4,correct,1.336798195,43.5,1.337684682,1.734999895,within,1,2,1,1,1
HSR31,5,9,8,3,cue10,incorrect,6.27324363,74.6,31.68462163,1.717000008,across,3,2,1,0,1
HSR31,5,10,3,5,cue3,correct,2.274232799,45.6,-2.278105075,1.805999994,within,1,2,1,1,1
HSR31,6,1,5,2,cue11,incorrect,4.040075734,51.4,7.966801886,1.714999914,within,1,2,1,1,1
HSR31,6,2,2,12,cue2,tooLong,1.902730303,178.75,132.8837795,4.754999876,across,2,2,0,0,1
HSR31,6,3,12,10,cue13,tooLong,3.049578741,86.2,18.47123258,2.779000044,across,2,3,0,0,1
HSR31,6,4,10,11,cue7,tooLong,2.93677968,106.8,54.51005942,2.611999989,across,2,2,0,0,1
HSR31,6,5,11,13,cue16,tooLong,1.565135248,79.7,37.71525419,1.631000042,within,1,2,0,0,1
HSR31,6,6,13,7,cue18,incorrect,34.11718429,87,34.90075539,2.335999966,across,3,3,0,0,0
HSR31,6,7,7,9,cue22,incorrect,60.26395762,61.4,11.41894518,2.670000076,within,1,2,0,0,0
HSR31,6,8,9,3,cue10,tooLong,1.42162795,88.3,17.86087751,2.654999971,across,3,3,0,0,0
HSR31,6,9,3,8,cue4,incorrect,21.61823556,108.75,65.83462163,2.316999912,across,3,2,1,0,0
HSR31,6,10,8,6,cue8,incorrect,37.96190472,70.3,28.13768468,1.535000086,within,1,2,0,0,0
HSR31,7,1,6,14,cue21,correct,1.991104213,71.6,-0.891927603,5.618999958,across,3,3,1,1,1
HSR31,7,2,14,5,cue3,incorrect,45.09745535,56.9,-17.21769254,4.387000084,across,2,3,0,0,0
HSR31,7,3,5,15,cue15,tooLong,0.44720252,113.5,42.94420178,2.486999989,across,3,3,0,0,1
HSR31,7,4,15,1,cue17,incorrect,49.04649282,70.45,-23.96939065,2.900000095,across,3,4,0,0,0
HSR31,7,5,1,4,cue14,correct,0.068474354,47.3,0.068509306,2.79399991,within,1,2,1,1,1
HSR31,7,6,4,2,cue11,incorrect,24.54351564,49.1,3.921975791,2.23300004,within,1,2,0,0,0
HSR31,7,7,2,12,cue2,incorrect,33.99458783,95.65,49.78377949,2.760999918,across,2,2,0,0,0
HSR31,7,8,12,10,cue13,tooLong,3.164609024,82.3,14.57123258,5.430000067,across,2,3,1,0,1
HSR31,7,9,10,11,cue7,tooLong,1.993747468,102.8,50.51005942,4.417999983,across,2,2,0,0,1
HSR31,7,10,11,13,cue16,incorrect,4.279965352,41.7,-0.284745808,2.424000025,within,1,2,1,1,1
HSR31,11,1,15,13,cue16,incorrect,4.407790696,56.7,12.62399047,4.769000053,within,1,2,1,1,1
