,X,run,trial,startID,goalID,cue,CWhead,CCWhead,feedbackType,goalError,pathDistance,shPathError,startNavTime,endNavTime,navTime,arrowsDispTime,selectTime,selectChoice,selectHead,RT,subID,trialTypeContext,trialTypeNumCon,trialTypeEdgeLen,maze,mazeOrder,landmarkID,goalLM,isCorrect,geCat,hubCat,goalCat,headingCat,newFeedbackType,shortestLen,relPathIneff,percIneff,startlandmark,neuralSimilarity_HPC_bilateral,stim1act_HPC_bilateral,stim2act_HPC_bilateral,V1_HPC_bilateral,IT_HPC_bilateral,neuralSimilarity_HPC_left,stim1act_HPC_left,stim2act_HPC_left,V1_HPC_left,IT_HPC_left,neuralSimilarity_HPC_right,stim1act_HPC_right,stim2act_HPC_right,V1_HPC_right,IT_HPC_right,startfractal,endfractal,neuralSimilarity_HPC_bilateral_fr,stim1act_HPC_bilateral_fr,stim2act_HPC_bilateral_fr,V1_HPC_bilateral_fr,IT_HPC_bilateral_fr
602,67,7,8,10,8,cue5,203.359465,23.35946499,correct,1.007404495,42.1,-1.0077343970000001,4061.797,4077.336,15.538999800000003,4060.527,4061.797,DOWN_SELECTION,203.359465,1.26999998,28,within,1,2,2,3,7,landmark18B,1,correct,hub,hub,1,correctSP,43.1077344,0.0,0.0,9,-0.003979492,-0.152214042,0.09376852599999999,0.861925045,0.809490897,-0.007169617,-0.164768066,0.020120271999999998,0.861925045,0.809490897,-0.000789366,-0.139660019,0.167416781,0.861925045,0.809490897,j,h,0.08192267149999999,-0.038372120999999995,0.0327898945,0.926041553,0.834987432
603,68,7,9,8,2,cue12,-14.87087358,165.1291264,correct,0.8920761840000001,67.7,-0.7126845759999999,4085.973,4131.543,45.56999993,4084.277,4085.973,UP_SELECTION,-14.87087358,1.69599986,28,across,3,3,1,1,2,landmark11B,1,correct,notHub,withinComm,1,correctSP,68.41268458,0.0,0.0,7,-0.046462616,0.010056151,0.042433797999999995,0.889320655,0.644599893,-0.034524356,0.030034186,0.117468894,0.889320655,0.644599893,-0.058400876,-0.009921883000000001,-0.032601298,0.889320655,0.644599893,h,b,0.035587596,-0.1238209275,-0.044741227999999994,0.892866175,0.9327770459999999
604,69,7,10,2,4,cue14,80.00899573,260.0089957,correct,2.058424454,46.8,-2.058831155,4141.643,4158.517,16.87399983,4138.523,4141.643,DOWN_SELECTION,260.0089957,3.12000013,28,within,1,2,1,1,4,landmark17B,1,correct,notHub,inbetween,1,correctSP,48.85883116,0.0,0.0,2,0.08780793699999999,-0.084293528,-0.028423967,0.890603083,0.73212533,0.10293266300000001,-0.081763522,-0.07500397,0.890603083,0.73212533,0.07268321,-0.08682353400000001,0.018156037,0.890603083,0.73212533,b,d,0.018200271000000004,-0.10594981849999999,0.0649718255,0.88747924,0.962622577
605,30,4,1,13,6,cue8,102.7811052,-77.21889482,tooLong,1.7340105119999998,116.85,69.28888503,1465.556,1517.306,51.75,1464.476,1465.556,UP_SELECTION,102.7811052,1.080000162,29,across,3,2,2,1,5,landmark8B,1,correct,hub,hub,0,correctNonSP,47.56111497,1.456838955,145.6838955,3,0.02706125,0.007947602,0.025656203,0.927763454,0.673118115,0.0326216,0.014638607,0.014829445,0.927763454,0.673118115,0.0215009,0.001256597,0.03648296,0.927763454,0.673118115,m,f,-0.012584015249999997,-0.0099963405,0.1527776455,0.901779855,0.8894008870000001
606,31,4,2,6,8,cue17,86.15194237,266.1519424,correct,0.591567696,47.9,0.591760986,1527.846,1544.126,16.27999997,1524.236,1527.846,DOWN_SELECTION,266.1519424,3.610000134,29,within,1,2,2,1,7,landmark6B,1,correct,hub,hub,1,correctSP,47.30823901,0.012508624,1.2508624259999999,5,-0.038745315,0.004633779,0.104579058,0.90936535,0.653497087,-0.008419589,-0.010022027,0.10087168699999999,0.90936535,0.653497087,-0.069071041,0.019289585,0.108286429,0.90936535,0.653497087,f,h,-0.042727672499999994,0.029971615499999996,0.08293821850000001,0.9188865629999999,0.941641407
607,32,4,3,8,2,cue4,-35.91964864,144.08035139999998,tooLong,1.201523758,124.5,56.09921481,1553.85,1620.846,66.99600005,1551.086,1553.85,DOWN_SELECTION,-35.91964864,2.7639999389999996,29,across,3,3,1,2,2,landmark10B,1,correct,notHub,withinComm,0,correctNonSP,68.40078519,0.8201545440000001,82.01545443,7,0.054312192999999995,0.094290475,0.12651289300000002,0.916386915,0.7359103579999999,-0.027174372000000002,0.0036336529999999997,0.143024412,0.916386915,0.7359103579999999,0.135798757,0.18494729699999998,0.11000137300000001,0.916386915,0.7359103579999999,h,b,-0.11047262249999999,0.027948469999999996,-0.004089694499999999,0.922706405,0.949595858
608,33,4,4,2,5,cue11,72.74861673,252.74861669999999,correct,2.315125414,46.3,-2.31909374,1631.846,1647.605,15.75899982,1627.816,1631.846,UP_SELECTION,72.74861673,4.0299999710000005,29,within,1,2,1,2,5,landmark8B,1,correct,hub,hub,1,correctSP,48.61909374,0.0,0.0,2,0.043022776,0.018632278000000002,0.025656203,0.949781502,0.525588751,0.014440841999999999,-0.042021659,0.014829445,0.949781502,0.525588751,0.07160471,0.07928621400000001,0.03648296,0.949781502,0.525588751,b,e,-0.061894432000000006,-0.079481069,0.0821448815,0.9678714079999999,0.903095408
609,34,4,5,5,2,cue4,226.86698080000002,46.86698079,correct,0.11899060199999999,48.5,-0.11909374,1655.806,1673.726,17.91999984,1654.579,1655.806,DOWN_SELECTION,46.86698079,1.226999998,29,within,1,2,1,2,2,landmark10B,1,correct,notHub,withinComm,1,correctSP,48.61909374,0.0,0.0,5,0.043022776,0.004633779,0.12651289300000002,0.949781502,0.525588751,0.014440841999999999,-0.010022027,0.143024412,0.949781502,0.525588751,0.07160471,0.019289585,0.11000137300000001,0.949781502,0.525588751,e,b,-0.061894432000000006,-0.044394506,-0.004089694499999999,0.9678714079999999,0.903095408
610,35,4,6,2,9,cue22,72.74861673,252.74861669999999,tooLong,0.054118535,112.15,25.53913496,1681.71,1731.556,49.84600019,1680.6989999999998,1681.71,DOWN_SELECTION,72.74861673,1.010999918,29,across,2,4,2,1,8,landmark3B,1,correct,notHub,withinComm,0,correctNonSP,86.61086504,0.294872184,29.48721843,2,-0.030973913,0.018632278000000002,0.029489855,0.91960781,0.650386852,-0.043428388,-0.042021659,0.022224074,0.91960781,0.650386852,-0.018519438,0.07928621400000001,0.036755636,0.91960781,0.650386852,b,i,-0.1064330495,-0.079481069,0.023011837,0.9651805170000001,0.88303199
611,36,4,7,9,3,cue3,230.7250954,50.72509545,tooLong,1.805695344,124.55,56.21171341,1739.086,1796.869,57.78299999,1738.546,1739.086,UP_SELECTION,50.72509545,0.539999962,29,across,3,3,1,2,3,landmark1B,1,correct,hub,hub,0,correctNonSP,68.33828659,0.8225508159999999,82.25508161,8,-0.054008372,-0.025529918999999998,-0.031092677000000003,0.955434714,0.685202532,-0.026171247999999998,-0.007242335,-0.047807734000000005,0.955434714,0.685202532,-0.08184549599999999,-0.043817503,-0.014377619,0.955434714,0.685202532,i,c,-0.1151595705,0.0713712395,0.0428391665,0.9310256459999999,0.9192603309999999
612,37,4,8,3,1,cue20,-21.69293477,158.30706519999998,correct,1.651501451,39.45,-1.6522079930000002,1804.526,1818.336,13.81000018,1803.856,1804.526,DOWN_SELECTION,-21.69293477,0.669999838,29,within,1,2,1,2,1,landmark2B,1,correct,notHub,withinComm,1,correctSP,41.10220799,0.0,0.0,3,-0.037701023,0.007947602,0.084033742,0.933264387,0.8210064140000001,-0.10418112800000001,0.014638607,0.049295430999999994,0.933264387,0.8210064140000001,0.028779081,0.001256597,0.118772053,0.933264387,0.8210064140000001,c,a,-0.05657434875,0.0085139295,0.1224227765,0.912689112,0.884844234
