,run,trial,startID,goalID,cue,CWhead,CCWhead,feedbackType,goalError,pathDistance,shPathError,startNavTime,endNavTime,navTime,arrowsDispTime,selectTime,selectChoice,selectHead,RT,subID,trialTypeContext,trialTypeNumCon,trialTypeEdgeLen,maze,mazeOrder,landmarkID,goalLM
20,3,1,14,6,cue17,-12.3971927173,167.602807283,tooLong,0.5699680779999999,83.0,15.80522394,1279.462,1343.432,63.97,1260.991,1279.462,UP_SELECTION,-12.39719272,18.471,HSR02,across,3.0,3.0,2.0,2,5,landmark13B
21,3,2,6,2,cue13,72.3727287096,252.37272871,correct,0.44760296,55.5,6.08883928,1351.9820000000002,1383.481,31.499000000000002,1350.342,1351.9820000000002,DOWN_SELECTION,252.3727287,1.64,HSR02,across,2.0,2.0,1.0,1,2,landmark6B
22,3,3,2,5,cue18,80.0089957311,260.00899573099997,tooLong,0.96650935,67.1,24.56717675,1391.799,1436.0620000000001,44.263000000000005,1390.401,1391.799,DOWN_SELECTION,80.00899573,1.3980000000000001,HSR02,within,1.0,2.0,1.0,1,5,landmark13B
23,3,4,5,8,cue4,217.757113597,37.7571135965,correct,0.305752846,45.8,1.515183621,1450.2120000000002,1478.5220000000002,28.31,1442.9520000000002,1450.2120000000002,DOWN_SELECTION,217.7571136,7.26,HSR02,across,2.0,2.0,2.0,2,7,landmark7B
24,3,5,8,4,cue8,-23.860641462199997,156.13935853799998,tooLong,2.996855203,61.4,14.30474005,1489.43,1558.171,68.741,1485.43,1489.43,DOWN_SELECTION,-23.86064146,4.0,HSR02,across,3.0,3.0,1.0,1,4,landmark2B
25,3,6,4,9,cue6,265.99410223900003,85.99410223870001,incorrect,54.21585333,54.4,-10.38955927,1568.81,1610.36,41.55,1565.033,1568.81,UP_SELECTION,85.99410224,3.7769999999999997,HSR02,across,2.0,3.0,2.0,2,8,landmark14B
26,3,7,9,2,cue13,230.72509544599998,50.7250954461,tooLong,1.07050957,116.0,24.03323397,1635.1570000000002,1720.8010000000002,85.64399999999999,1623.76,1635.1570000000002,DOWN_SELECTION,50.72509545,11.397,HSR02,across,3.0,4.0,1.0,1,2,landmark6B
27,3,8,2,10,cue14,80.0089957311,260.00899573099997,correct,0.00485118,79.2,5.458384177999999,1749.733,1781.969,32.236,1727.71,1749.733,UP_SELECTION,80.00899573,22.023000000000003,HSR02,across,2.0,3.0,2.0,2,9,landmark5B
28,3,9,10,7,cue11,192.38214593700002,12.3821459369,correct,1.754134417,38.1,-1.7545296680000002,1792.7520000000002,1808.165,15.413,1788.8529999999998,1792.7520000000002,DOWN_SELECTION,12.38214594,3.8989999999999996,HSR02,within,1.0,2.0,2.0,2,6,landmark12B
29,3,10,7,3,cue9,35.153463033,215.15346303299998,correct,1.9149430230000002,54.1,6.166381955,1827.533,1883.495,55.961999999999996,1815.124,1827.533,DOWN_SELECTION,35.15346303,12.409,HSR02,across,3.0,3.0,1.0,1,3,landmark4B
